Date,Dividends
2004-06-25,0.09
2016-06-13,0.216
2008-06-23,0.146
2000-06-23,0.08
2017-03-23,0.247
2004-03-26,0.08
2004-09-24,0.09
2016-09-12,0.25
2017-06-20,0.266
1999-03-26,0.215
2000-09-22,0.09
2013-03-21,0.166
1996-06-25,0.06
1995-03-22,0.06
2011-12-20,0.167
1992-09-24,0.06
2017-09-21,0.253
2015-12-18,0.268
2011-09-22,0.139
2000-12-20,0.176
2005-03-23,0.1
1999-06-25,0.09
2003-09-26,0.08
1995-06-21,0.06
1995-09-26,0.06
1995-12-22,0.1
1999-09-24,0.08
2000-03-24,0.13
2016-03-14,0.222
1996-03-26,0.06
2008-03-24,0.145
2006-06-23,0.12
2005-12-23,0.153
2009-12-21,0.167
1993-12-29,0.08
2001-12-21,0.092
2002-06-21,0.06
2006-09-22,0.12
1996-12-20,0.19
2007-03-23,0.14
2013-12-19,0.227
1997-03-25,0.1
2009-09-23,0.113
2005-06-24,0.09
2014-03-24,0.192
1994-12-28,0.09
2001-06-22,0.062
2002-12-20,0.093
2005-09-23,0.13
2014-06-23,0.19
2014-12-22,0.258
2010-03-24,0.107
2001-09-21,0.073
2002-03-22,0.07
1997-12-23,0.372
2010-06-23,0.124
2008-09-23,0.138
2007-12-19,0.182
2012-09-21,0.167
2003-12-19,0.107
2009-03-24,0.131
1996-09-25,0.06
1998-12-22,0.229
2009-06-23,0.104
2013-06-21,0.176
2004-12-23,0.185
2007-06-22,0.13
2008-12-19,0.157
1992-12-29,0.17
2003-06-20,0.07
2007-09-21,0.15
2012-03-23,0.14
1999-12-21,0.265
2012-12-19,0.255
2012-06-22,0.158
2016-12-19,0.336
2010-09-23,0.137
2015-03-24,0.232
1998-06-26,0.06
2002-09-27,0.07
1994-06-22,0.06
2017-12-20,0.31
1998-09-25,0.06
2011-03-24,0.128
2015-06-25,0.214
1993-03-24,0.06
1994-09-21,0.06
2001-03-16,0.07
2011-06-23,0.128
2015-09-24,0.233
2006-12-21,0.164
2013-09-20,0.196
1997-06-25,0.06
2018-03-21,0.259
2003-03-28,0.07
1993-06-23,0.06
1997-09-24,0.06
2006-03-17,0.12
1998-03-27,0.105
1993-09-22,0.06
1994-03-23,0.06
2010-12-21,0.162
2014-09-23,0.211
